Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Sleep_Category,Improvement_Potential,Has_Tutoring
22,83,2.0,2.0,1,6,94,1.0,1,0.0,2.0,1,1.0,2,0,1.0,1,71,0.2619047619047619,Normal,4.086956521739131,0
16,90,1.0,1.0,0,4,58,1.0,1,1.0,0.0,1,1.0,3,0,1.0,0,66,0.17582417582417584,Low,3.411764705882353,1
18,66,2.0,2.0,0,4,51,0.0,1,2.0,0.0,0,1.0,2,0,2.0,1,64,0.26865671641791045,Low,2.6842105263157894,1
16,83,0.0,1.0,0,6,57,1.0,1,0.0,2.0,1,2.0,4,1,2.0,0,63,0.19047619047619047,Normal,3.3529411764705883,0
31,70,1.0,2.0,1,7,66,1.0,1,1.0,2.0,1,0.0,3,0,2.0,1,69,0.43661971830985913,Normal,2.0625,1
20,69,1.0,1.0,1,8,96,1.0,1,2.0,1.0,1,2.0,3,0,2.0,1,67,0.2857142857142857,Good,4.571428571428571,1
14,60,2.0,1.0,0,5,50,1.0,1,2.0,1.0,1,1.0,3,0,2.0,0,61,0.22950819672131148,Low,3.3333333333333335,1
25,65,2.0,1.0,0,5,90,1.0,1,2.0,1.0,1,2.0,3,0,1.0,0,68,0.3787878787878788,Low,3.4615384615384617,1
13,72,0.0,1.0,0,6,93,0.0,1,1.0,0.0,1,0.0,3,0,2.0,1,61,0.1780821917808219,Normal,6.642857142857143,1
21,65,1.0,0.0,1,7,91,0.0,1,2.0,1.0,1,2.0,3,0,0.0,0,64,0.3181818181818182,Normal,4.136363636363637,1
8,99,1.0,1.0,0,9,54,0.0,1,2.0,0.0,1,1.0,5,0,2.0,0,67,0.08,Good,6.0,1
12,72,0.0,1.0,1,8,84,1.0,1,1.0,0.0,1,2.0,5,0,2.0,0,63,0.1643835616438356,Good,6.461538461538462,1
21,65,0.0,1.0,1,6,98,0.0,1,1.0,1.0,1,0.0,4,0,2.0,1,64,0.3181818181818182,Normal,4.454545454545454,1
24,68,2.0,1.0,0,8,56,0.0,1,3.0,2.0,1,1.0,1,0,2.0,1,67,0.34782608695652173,Good,2.24,1
21,84,1.0,1.0,1,6,52,0.0,1,1.0,1.0,1,1.0,2,1,0.0,0,65,0.24705882352941178,Normal,2.3636363636363638,1
19,63,0.0,2.0,0,7,94,1.0,1,1.0,1.0,0,2.0,3,0,1.0,1,64,0.296875,Normal,4.7,1
18,94,1.0,2.0,1,7,82,1.0,1,3.0,1.0,0,0.0,2,1,2.0,1,70,0.18947368421052632,Normal,4.315789473684211,1
11,98,1.0,1.0,1,9,82,0.0,1,1.0,1.0,0,2.0,3,0,0.0,1,68,0.1111111111111111,Good,6.833333333333333,1
16,70,1.0,1.0,1,8,98,1.0,1,2.0,1.0,1,2.0,3,0,1.0,1,65,0.22535211267605634,Good,5.764705882352941,1
17,78,1.0,1.0,1,6,88,1.0,1,1.0,1.0,0,2.0,3,0,2.0,0,68,0.21518987341772153,Normal,4.888888888888889,1
26,61,1.0,0.0,1,6,70,1.0,1,2.0,0.0,1,2.0,3,0,1.0,0,64,0.41935483870967744,Normal,2.5925925925925926,1
22,86,0.0,1.0,1,7,72,0.0,1,3.0,0.0,1,2.0,2,0,1.0,1,68,0.25287356321839083,Normal,3.130434782608696,1
9,77,1.0,1.0,0,5,57,1.0,1,2.0,1.0,1,1.0,3,0,2.0,1,63,0.11538461538461539,Low,5.7,1
22,71,0.0,1.0,1,7,65,0.0,1,1.0,1.0,1,2.0,4,0,1.0,1,64,0.3055555555555556,Normal,2.8260869565217392,1
18,68,2.0,1.0,0,7,72,1.0,1,0.0,1.0,1,1.0,3,0,2.0,1,64,0.2608695652173913,Normal,3.789473684210526,0
16,86,0.0,1.0,1,8,63,1.0,1,2.0,1.0,1,2.0,4,0,2.0,1,67,0.1839080459770115,Good,3.7058823529411766,1
24,77,2.0,0.0,0,8,96,1.0,1,0.0,1.0,1,1.0,3,0,2.0,0,67,0.3076923076923077,Good,3.84,0
26,67,1.0,2.0,1,7,51,0.0,1,2.0,2.0,0,1.0,4,1,0.0,0,66,0.38235294117647056,Normal,1.8888888888888888,1
26,88,1.0,2.0,1,5,79,1.0,1,1.0,0.0,0,2.0,4,0,1.0,1,72,0.29213483146067415,Low,2.925925925925926,1
15,83,1.0,2.0,0,5,89,0.0,0,1.0,1.0,1,1.0,2,1,2.0,0,65,0.17857142857142858,Low,5.5625,1
18,94,1.0,1.0,1,6,87,2.0,1,1.0,1.0,1,2.0,4,0,2.0,1,71,0.18947368421052632,Normal,4.578947368421052,1
22,65,2.0,0.0,0,8,82,1.0,1,2.0,1.0,1,2.0,1,0,2.0,0,66,0.3333333333333333,Good,3.5652173913043477,1
26,91,1.0,0.0,1,8,71,1.0,1,0.0,0.0,0,1.0,3,0,1.0,1,68,0.2826086956521739,Good,2.6296296296296298,0
17,87,1.0,1.0,0,7,96,1.0,1,1.0,2.0,1,0.0,5,0,2.0,0,70,0.19318181818181818,Normal,5.333333333333333,1
19,65,1.0,1.0,1,10,66,0.0,1,0.0,0.0,1,2.0,3,0,1.0,1,62,0.2878787878787879,Oversleep,3.3,0
13,88,0.0,2.0,1,9,88,2.0,1,2.0,0.0,0,0.0,4,0,0.0,1,68,0.14606741573033707,Good,6.285714285714286,1
13,78,1.0,2.0,1,9,96,2.0,1,2.0,0.0,1,1.0,3,0,1.0,1,67,0.16455696202531644,Good,6.857142857142857,1
25,98,0.0,2.0,1,8,56,1.0,0,0.0,1.0,0,1.0,3,0,2.0,1,71,0.25252525252525254,Good,2.1538461538461537,0
28,66,1.0,2.0,1,8,97,1.0,1,0.0,1.0,1,1.0,2,0,2.0,1,68,0.417910447761194,Good,3.3448275862068964,0
20,86,1.0,1.0,1,8,89,1.0,1,1.0,0.0,1,0.0,3,0,2.0,1,69,0.22988505747126436,Good,4.238095238095238,1
26,75,0.0,2.0,1,4,81,2.0,1,3.0,1.0,0,2.0,2,0,1.0,1,70,0.34210526315789475,Low,3.0,1
22,98,1.0,2.0,0,5,69,0.0,0,1.0,0.0,1,0.0,4,0,1.0,0,69,0.2222222222222222,Low,3.0,1
16,73,1.0,1.0,0,7,95,1.0,1,1.0,0.0,1,0.0,4,0,2.0,1,65,0.21621621621621623,Normal,5.588235294117647,1
22,98,1.0,0.0,1,7,52,1.0,0,3.0,1.0,1,2.0,3,0,2.0,0,70,0.2222222222222222,Normal,2.260869565217391,1
29,96,1.0,0.0,1,7,72,1.0,1,1.0,0.0,1,2.0,3,0,1.0,1,71,0.29896907216494845,Normal,2.4,1
20,71,1.0,1.0,1,7,88,1.0,1,1.0,0.0,1,1.0,4,0,2.0,0,65,0.2777777777777778,Normal,4.190476190476191,1
29,92,0.0,1.0,0,4,91,1.0,1,2.0,1.0,1,0.0,1,0,2.0,0,72,0.3118279569892473,Low,3.033333333333333,1
4,100,2.0,2.0,1,8,60,2.0,1,0.0,1.0,0,2.0,4,0,1.0,1,69,0.039603960396039604,Good,12.0,0
25,70,1.0,1.0,0,7,52,1.0,1,1.0,1.0,1,2.0,3,0,2.0,0,66,0.352112676056338,Normal,2.0,1
21,77,0.0,1.0,1,7,90,1.0,1,3.5,1.0,0,1.0,3,0,1.0,1,68,0.2692307692307692,Normal,4.090909090909091,1
18,81,2.0,0.0,1,8,71,1.0,1,0.0,1.0,1,1.0,3,0,1.0,0,65,0.21951219512195122,Good,3.736842105263158,0
21,72,1.0,1.0,1,5,57,1.0,1,1.0,2.0,1,1.0,5,1,1.0,1,64,0.2876712328767123,Low,2.590909090909091,1
8,61,1.0,1.0,1,7,54,1.0,1,1.0,2.0,1,2.0,3,0,2.0,1,60,0.12903225806451613,Normal,6.0,1
19,69,1.0,2.0,1,7,82,2.0,1,1.0,0.0,1,0.0,2,0,2.0,1,65,0.2714285714285714,Normal,4.1,1
22,71,2.0,1.0,0,6,79,2.0,1,1.0,0.0,1,2.0,3,0,2.0,1,66,0.3055555555555556,Normal,3.4347826086956523,1
29,78,2.0,2.0,1,4,93,0.0,1,3.5,1.0,1,1.0,3,0,2.0,1,74,0.3670886075949367,Low,3.1,1
17,67,1.0,1.0,1,5,52,2.0,1,2.0,1.0,0,0.0,3,0,0.0,0,62,0.25,Low,2.888888888888889,1
15,95,1.0,1.0,0,7,93,1.0,1,2.0,0.0,1,2.0,4,0,1.0,1,70,0.15625,Normal,5.8125,1
17,88,1.0,2.0,1,7,94,0.0,1,0.0,1.0,1,1.0,3,0,2.0,1,69,0.19101123595505617,Normal,5.222222222222222,0
25,63,1.0,2.0,1,7,72,1.0,1,3.0,1.0,0,0.0,4,0,0.0,1,67,0.390625,Normal,2.769230769230769,1
22,86,0.0,0.0,0,6,54,1.0,1,2.0,1.0,1,1.0,0,0,1.0,1,64,0.25287356321839083,Normal,2.347826086956522,1
17,86,1.0,2.0,0,5,97,2.0,1,3.0,2.0,1,1.0,3,0,2.0,1,71,0.19540229885057472,Low,5.388888888888889,1
23,98,1.0,0.0,1,7,54,0.0,1,0.0,1.0,1,0.0,3,0,2.0,0,68,0.23232323232323232,Normal,2.25,0
21,60,2.0,1.0,0,7,80,1.0,1,0.0,1.0,1,1.0,4,1,2.0,1,64,0.3442622950819672,Normal,3.6363636363636362,0
26,70,1.0,0.0,1,8,75,1.0,1,1.0,1.0,0,1.0,4,1,0.0,0,63,0.36619718309859156,Good,2.7777777777777777,1
16,97,1.0,1.0,1,6,92,0.0,1,0.0,2.0,0,2.0,4,0,2.0,1,71,0.16326530612244897,Normal,5.411764705882353,0
18,97,2.0,1.0,1,4,75,0.0,1,0.0,0.0,1,2.0,3,0,1.0,1,69,0.1836734693877551,Low,3.9473684210526314,0
18,89,2.0,1.0,1,4,73,1.0,1,3.0,2.0,0,2.0,2,0,2.0,0,100,0.2,Low,3.8421052631578947,1
11,91,1.0,1.0,0,6,94,1.0,1,3.0,1.0,1,1.0,3,0,1.0,1,68,0.11956521739130435,Normal,7.833333333333333,1
22,64,0.0,1.0,0,7,98,0.0,0,1.0,1.0,1,0.0,3,0,2.0,1,62,0.3384615384615385,Normal,4.260869565217392,1
22,81,1.0,1.0,1,7,77,0.0,1,2.0,1.0,1,2.0,3,0,0.0,0,68,0.2682926829268293,Normal,3.347826086956522,1
20,69,2.0,2.0,1,6,73,1.0,1,2.0,0.0,0,2.0,3,0,0.0,1,66,0.2857142857142857,Normal,3.4761904761904763,1
19,67,0.0,1.0,0,5,92,2.0,1,0.0,1.0,1,2.0,3,0,2.0,1,64,0.27941176470588236,Low,4.6,0
12,92,1.0,1.0,0,4,92,2.0,1,2.0,1.0,1,1.0,3,1,1.0,1,67,0.12903225806451613,Low,7.076923076923077,1
17,65,1.0,2.0,1,8,66,1.0,1,1.0,2.0,1,1.0,4,1,1.0,0,65,0.25757575757575757,Good,3.6666666666666665,1
18,79,1.0,1.0,1,7,79,1.0,1,0.0,0.0,0,1.0,3,0,0.0,1,65,0.225,Normal,4.157894736842105,0
15,98,2.0,1.0,0,6,58,2.0,1,0.0,0.0,1,2.0,3,0,2.0,1,69,0.15151515151515152,Normal,3.625,0
19,67,1.0,1.0,0,5,82,2.0,1,1.0,0.0,0,0.0,3,0,2.0,1,63,0.27941176470588236,Low,4.1,1
22,99,1.0,0.0,1,6,92,0.0,1,3.0,1.0,1,0.0,4,0,1.0,1,72,0.22,Normal,4.0,1
31,100,1.0,1.0,0,7,59,1.0,1,2.0,2.0,1,2.0,5,0,1.0,1,76,0.3069306930693069,Normal,1.84375,1
21,82,1.0,2.0,1,7,66,2.0,1,3.0,0.0,1,2.0,3,1,2.0,0,69,0.25301204819277107,Normal,3.0,1
22,67,1.0,1.0,1,7,72,2.0,1,3.0,0.0,1,2.0,2,0,1.0,0,67,0.3235294117647059,Normal,3.130434782608696,1
20,73,2.0,1.0,1,9,92,1.0,1,2.0,1.0,1,2.0,3,0,2.0,1,69,0.2702702702702703,Good,4.380952380952381,1
8,77,2.0,1.0,1,6,87,1.0,1,0.0,0.0,1,1.0,2,0,1.0,1,63,0.10256410256410256,Normal,9.666666666666666,0
20,72,1.0,1.0,0,9,66,1.0,1,3.0,0.0,0,2.0,3,0,2.0,1,67,0.273972602739726,Good,3.142857142857143,1
20,71,0.0,2.0,1,7,62,2.0,1,2.0,1.0,1,0.0,5,0,2.0,1,66,0.2777777777777778,Normal,2.9523809523809526,1
35,99,2.0,2.0,1,7,85,0.0,1,2.0,1.0,0,1.0,2,0,2.0,0,79,0.35,Normal,2.361111111111111,1
19,66,1.0,1.0,0,8,74,1.0,1,1.0,2.0,1,1.0,3,0,2.0,0,64,0.2835820895522388,Good,3.7,1
22,89,2.0,2.0,1,6,80,1.0,1,1.0,2.0,1,2.0,3,0,2.0,0,73,0.24444444444444444,Normal,3.4782608695652173,1
20,60,0.0,2.0,0,7,82,2.0,1,2.0,0.0,1,2.0,4,1,2.0,1,63,0.32786885245901637,Normal,3.9047619047619047,1
13,84,1.0,1.0,0,5,78,1.0,1,1.0,0.0,1,2.0,2,0,2.0,1,65,0.15294117647058825,Low,5.571428571428571,1
27,97,0.0,2.0,1,8,81,1.0,1,0.0,2.0,1,2.0,5,0,2.0,0,73,0.2755102040816326,Good,2.892857142857143,0
25,72,2.0,2.0,1,8,94,0.0,1,2.0,0.0,0,2.0,4,0,1.0,0,70,0.3424657534246575,Good,3.6153846153846154,1
25,67,2.0,1.0,0,9,93,2.0,1,2.0,0.0,1,2.0,3,1,2.0,0,68,0.36764705882352944,Good,3.576923076923077,1
15,86,1.0,1.0,1,7,57,1.0,1,1.0,1.0,1,0.0,3,0,2.0,1,65,0.1724137931034483,Normal,3.5625,1
28,89,0.0,2.0,1,9,79,2.0,1,0.0,0.0,0,2.0,1,0,1.0,0,71,0.3111111111111111,Good,2.7241379310344827,0
12,88,0.0,1.0,0,6,72,0.0,1,2.0,1.0,1,2.0,2,0,0.0,1,64,0.1348314606741573,Normal,5.538461538461538,1
24,73,1.0,2.0,1,8,64,1.0,1,3.5,2.0,0,1.0,3,1,1.0,1,68,0.32432432432432434,Good,2.56,1
33,70,1.0,1.0,1,6,82,0.0,1,1.0,0.0,1,1.0,4,0,2.0,1,69,0.4647887323943662,Normal,2.411764705882353,1
14,98,1.0,1.0,0,7,76,1.0,1,0.0,1.0,0,2.0,4,0,1.0,0,69,0.1414141414141414,Normal,5.066666666666666,0
17,97,1.0,1.0,0,8,89,1.0,1,1.0,0.0,1,1.0,4,0,0.0,1,69,0.17346938775510204,Good,4.944444444444445,1
21,78,1.0,1.0,1,10,55,1.0,1,1.0,2.0,0,2.0,2,0,2.0,1,67,0.26582278481012656,Oversleep,2.5,1
17,94,0.0,1.0,1,8,65,0.0,1,3.5,1.0,1,1.0,6,0,0.0,0,68,0.17894736842105263,Good,3.611111111111111,1
11,78,1.0,2.0,1,8,51,1.0,1,2.0,0.0,1,1.0,3,0,2.0,1,64,0.13924050632911392,Good,4.25,1
20,77,1.0,1.0,0,6,87,0.0,1,0.0,0.0,1,2.0,4,0,2.0,0,66,0.2564102564102564,Normal,4.142857142857143,0
14,66,2.0,0.0,0,7,96,1.0,1,3.0,0.0,1,0.0,3,0,2.0,1,63,0.208955223880597,Normal,6.4,1
23,77,1.0,1.0,1,7,79,1.0,1,0.0,0.0,1,1.0,2,0,1.0,1,66,0.2948717948717949,Normal,3.2916666666666665,0
14,81,1.0,1.0,0,9,81,1.0,1,1.0,0.0,0,0.0,3,0,2.0,0,66,0.17073170731707318,Good,5.4,1
29,61,1.0,2.0,1,7,52,0.0,1,3.0,0.0,0,2.0,3,0,2.0,0,67,0.46774193548387094,Normal,1.7333333333333334,1
15,78,2.0,2.0,0,9,75,0.0,1,1.0,0.0,1,0.0,1,0,2.0,1,65,0.189873417721519,Good,4.6875,1
18,91,0.0,1.0,1,5,76,1.0,1,1.0,1.0,1,1.0,3,0,2.0,0,68,0.1956521739130435,Low,4.0,1
25,87,1.0,0.0,0,9,52,2.0,1,1.0,0.0,0,2.0,2,0,2.0,1,68,0.2840909090909091,Good,2.0,1
13,85,2.0,1.0,0,6,89,1.0,1,0.0,2.0,0,1.0,1,1,2.0,1,65,0.1511627906976744,Normal,6.357142857142857,0
21,96,1.0,1.0,0,8,64,2.0,1,2.0,1.0,1,1.0,0,0,2.0,1,71,0.21649484536082475,Good,2.909090909090909,1
28,61,1.0,2.0,0,6,86,2.0,1,1.0,0.0,0,0.0,3,1,0.0,1,65,0.45161290322580644,Normal,2.9655172413793105,1
10,82,1.0,0.0,0,8,70,1.0,1,3.0,0.0,1,2.0,1,1,2.0,0,64,0.12048192771084337,Good,6.363636363636363,1
21,91,2.0,1.0,0,6,100,1.0,1,0.0,2.0,0,1.0,2,0,2.0,0,72,0.22826086956521738,Normal,4.545454545454546,0
22,82,1.0,1.0,0,9,61,1.0,1,2.0,0.0,1,0.0,2,1,2.0,0,65,0.26506024096385544,Good,2.652173913043478,1
25,73,1.0,2.0,0,8,53,2.0,0,0.0,0.0,0,0.0,5,0,2.0,0,66,0.33783783783783783,Good,2.0384615384615383,0
13,65,0.0,2.0,0,6,99,1.0,1,0.0,0.0,0,0.0,4,0,2.0,1,61,0.19696969696969696,Normal,7.071428571428571,0
12,96,0.0,2.0,1,8,62,1.0,1,2.0,1.0,1,0.0,3,0,2.0,0,68,0.12371134020618557,Good,4.769230769230769,1
23,79,2.0,2.0,1,8,82,0.0,1,3.0,1.0,1,0.0,3,1,1.0,0,69,0.2875,Good,3.4166666666666665,1
22,95,1.0,2.0,1,6,69,1.0,1,1.0,0.0,1,2.0,3,0,2.0,0,72,0.22916666666666666,Normal,3.0,1
22,83,1.0,2.0,1,5,82,1.0,1,2.0,0.0,1,2.0,3,0,2.0,0,71,0.2619047619047619,Low,3.5652173913043477,1
22,87,2.0,2.0,0,5,80,0.0,1,2.0,0.0,1,0.0,3,0,2.0,0,70,0.25,Low,3.4782608695652173,1
16,92,1.0,2.0,1,5,85,0.0,1,1.0,0.0,1,1.0,2,0,1.0,1,68,0.17204301075268819,Low,5.0,1
21,86,0.0,1.0,1,5,51,1.0,1,2.0,0.0,1,2.0,2,0,1.0,0,67,0.2413793103448276,Low,2.3181818181818183,1
22,76,1.0,1.0,1,8,92,1.0,1,1.0,0.0,1,1.0,4,0,2.0,0,68,0.2857142857142857,Good,4.0,1
16,81,1.0,1.0,1,8,74,1.0,1,3.0,1.0,1,2.0,2,0,2.0,0,68,0.1951219512195122,Good,4.352941176470588,1
31,92,1.0,1.0,1,4,76,1.0,1,2.0,1.0,1,2.0,4,1,0.0,1,72,0.3333333333333333,Low,2.375,1
23,75,0.0,2.0,0,6,71,0.0,1,0.0,1.0,1,1.0,2,0,2.0,1,65,0.3026315789473684,Normal,2.9583333333333335,0
13,76,1.0,2.0,0,5,99,0.0,1,2.0,1.0,0,2.0,4,0,2.0,0,66,0.16883116883116883,Low,7.071428571428571,1
24,64,1.0,1.0,1,8,90,2.0,1,0.0,0.0,1,0.0,3,0,2.0,1,65,0.36923076923076925,Good,3.6,0
14,97,1.0,1.0,1,6,66,1.0,1,2.0,1.0,1,0.0,3,1,2.0,0,67,0.14285714285714285,Normal,4.4,1
25,64,1.0,2.0,0,5,89,0.0,1,2.0,1.0,1,1.0,4,0,0.0,1,66,0.38461538461538464,Low,3.423076923076923,1
27,86,1.0,1.0,0,7,72,0.0,1,1.0,1.0,1,2.0,4,0,0.0,1,69,0.3103448275862069,Normal,2.5714285714285716,1
15,77,1.0,1.0,1,8,94,0.0,1,0.0,2.0,1,2.0,3,0,1.0,1,66,0.19230769230769232,Good,5.875,0
26,76,1.0,2.0,1,6,52,1.0,1,3.5,2.0,1,1.0,3,0,2.0,1,69,0.33766233766233766,Normal,1.9259259259259258,1
22,87,2.0,0.0,1,7,68,1.0,0,0.0,0.0,1,1.0,2,0,2.0,1,67,0.25,Normal,2.9565217391304346,0
25,63,2.0,1.0,1,6,71,1.0,1,1.0,1.0,0,2.0,3,0,2.0,1,66,0.390625,Normal,2.730769230769231,1
31,84,1.0,1.0,1,9,87,1.0,1,2.0,0.0,0,1.0,3,0,0.0,1,71,0.36470588235294116,Good,2.71875,1
19,91,2.0,0.0,0,6,59,1.0,1,3.5,1.0,1,1.0,4,0,1.0,1,70,0.20652173913043478,Normal,2.95,1
15,93,2.0,1.0,0,6,64,1.0,1,2.0,1.0,1,2.0,4,0,2.0,1,71,0.1595744680851064,Normal,4.0,1
15,67,1.0,1.0,1,7,86,2.0,1,1.0,2.0,0,2.0,3,0,2.0,1,66,0.22058823529411764,Normal,5.375,1
15,96,1.0,1.0,0,7,54,2.0,0,3.0,1.0,1,0.0,2,0,2.0,1,67,0.15463917525773196,Normal,3.375,1
20,86,2.0,0.0,0,8,60,1.0,1,1.0,1.0,1,1.0,4,1,0.0,0,66,0.22988505747126436,Good,2.857142857142857,1
22,95,1.0,2.0,0,9,88,0.0,1,0.0,0.0,1,2.0,2,0,2.0,1,72,0.22916666666666666,Good,3.8260869565217392,0
22,79,1.0,1.0,0,9,94,1.0,1,1.0,1.0,1,2.0,3,0,2.0,1,68,0.275,Good,4.086956521739131,1
25,82,1.0,1.0,0,6,86,1.0,0,3.0,0.0,1,2.0,3,0,2.0,0,69,0.30120481927710846,Normal,3.3076923076923075,1
20,97,1.0,1.0,1,7,76,0.0,1,2.0,0.0,0,2.0,3,0,2.0,1,71,0.20408163265306123,Normal,3.619047619047619,1
29,96,1.0,1.0,1,9,55,0.0,0,0.0,1.0,1,1.0,2,0,0.0,0,70,0.29896907216494845,Good,1.8333333333333333,0
18,78,1.0,1.0,0,9,91,2.0,1,2.0,2.0,1,1.0,4,0,0.0,0,67,0.22784810126582278,Good,4.7894736842105265,1
36,71,1.0,1.0,1,6,56,1.0,1,2.0,2.0,1,2.0,2,0,0.0,1,69,0.5,Normal,1.5135135135135136,1
24,76,0.0,2.0,0,8,69,0.0,1,2.0,1.0,1,1.0,1,0,1.0,1,65,0.3116883116883117,Good,2.76,1
15,76,2.0,2.0,0,8,53,1.0,1,1.0,0.0,1,1.0,4,0,2.0,1,65,0.19480519480519481,Good,3.3125,1
14,71,1.0,1.0,1,8,85,0.0,1,2.0,1.0,1,1.0,4,0,2.0,1,64,0.19444444444444445,Good,5.666666666666667,1
23,71,0.0,0.0,1,9,75,0.0,1,1.0,0.0,1,0.0,2,0,2.0,1,63,0.3194444444444444,Good,3.125,1
19,94,0.0,1.0,1,5,95,1.0,1,3.0,0.0,1,2.0,2,0,1.0,1,69,0.2,Low,4.75,1
24,63,1.0,0.0,1,6,57,1.0,1,1.0,0.0,0,1.0,5,0,2.0,0,64,0.375,Normal,2.28,1
23,87,2.0,2.0,1,8,91,2.0,1,0.0,2.0,0,2.0,3,0,1.0,1,72,0.26136363636363635,Good,3.7916666666666665,0
20,67,0.0,1.0,1,7,76,1.0,1,0.0,1.0,1,1.0,4,0,2.0,1,63,0.29411764705882354,Normal,3.619047619047619,0
15,74,0.0,2.0,1,4,68,0.0,1,3.0,0.0,1,2.0,3,0,2.0,0,64,0.2,Low,4.25,1
11,62,1.0,2.0,1,5,82,1.0,1,3.0,2.0,0,1.0,4,0,1.0,1,64,0.1746031746031746,Low,6.833333333333333,1
17,71,1.0,1.0,1,8,90,1.0,1,3.5,1.0,1,2.0,1,0,0.0,1,67,0.2361111111111111,Good,5.0,1
25,91,1.0,1.0,0,8,72,0.0,1,2.0,1.0,1,2.0,0,0,2.0,1,71,0.2717391304347826,Good,2.769230769230769,1
